,country,map_year,weights
0,Russia,1945,141.0
1,Kazakhstan,1945,141.0
2,Kyrgyzstan,1945,141.0
3,Slovakia,1945,129.0
4,South Georgia and the South Sandwich Islands,1945,162.00000000000003
5,South Sudan,1945,162.00000000000003
6,Antigua and Barbuda,1945,162.00000000000003
7,Anguilla,1945,162.00000000000003
8,American Samoa,1945,162.00000000000003
9,Australia,1945,162.00000000000003
10,Barbados,1945,162.00000000000003
11,Bermuda,1945,162.00000000000003
12,Bahamas,1945,162.00000000000003
13,Botswana,1945,162.00000000000003
14,Belize,1945,162.00000000000003
15,Canada,1945,162.00000000000003
16,Cook Islands,1945,162.00000000000003
17,Cameroon,1945,162.00000000000003
18,Dominica,1945,162.00000000000003
19,Fiji,1945,162.00000000000003
20,Falkland Islands,1945,162.00000000000003
21,Micronesia,1945,162.00000000000003
22,United Kingdom,1945,162.00000000000003
23,Grenada,1945,162.00000000000003
24,Ghana,1945,162.00000000000003
25,Gibraltar,1945,162.00000000000003
26,Gambia,1945,162.00000000000003
27,Guam,1945,162.00000000000003
28,Guyana,1945,162.00000000000003
29,Ireland,1945,162.00000000000003
30,British Indian Ocean Territory,1945,162.00000000000003
31,Jamaica,1945,162.00000000000003
32,Kiribati,1945,162.00000000000003
33,Saint Kitts and Nevis,1945,162.00000000000003
34,Cayman Islands,1945,162.00000000000003
35,Saint Lucia,1945,162.00000000000003
36,Liberia,1945,162.00000000000003
37,Montserrat,1945,162.00000000000003
38,Mauritius,1945,162.00000000000003
39,Namibia,1945,162.00000000000003
40,Norfolk Island,1945,162.00000000000003
41,Nigeria,1945,162.00000000000003
42,New Zealand,1945,162.00000000000003
43,Pitcairn,1945,162.00000000000003
44,Puerto Rico,1945,162.00000000000003
45,Solomon Islands,1945,162.00000000000003
46,Seychelles,1945,162.00000000000003
47,Saint Helena,1945,162.00000000000003
48,Sierra Leone,1945,162.00000000000003
49,Turks and Caicos Islands,1945,162.00000000000003
50,Trinidad and Tobago,1945,162.00000000000003
51,United States Minor Outlying Islands,1945,162.00000000000003
52,United States,1945,162.00000000000003
53,Saint Vincent and the Grenadines,1945,162.00000000000003
54,British Virgin Islands,1945,162.00000000000003
55,U.S. Virgin Islands,1945,162.00000000000003
56,Zambia,1945,162.00000000000003
57,Jersey,1945,162.00000000000003
58,Isle of Man,1945,162.00000000000003
59,Guernsey,1945,162.00000000000003
60,Christmas Island,1945,162.00000000000003
61,Canada eng,1945,162.00000000000003
62,South Africa,1945,162.00000000000003
63,Italy,1945,29.0
64,San Marino,1945,29.0
65,Germany,1945,303.99999999999994
66,Austria,1945,303.99999999999994
67,Switzerland,1945,303.99999999999994
68,Liechtenstein,1945,303.99999999999994
69,West Germany,1945,303.99999999999994
70,East Germany,1945,303.99999999999994
71,Switzerland ger,1945,303.99999999999994
72,Bulgaria,1945,39.0
73,Israel,1945,12.0
74,Argentina,1945,24.0
75,Bolivia,1945,24.0
76,Chile,1945,24.0
77,Colombia,1945,24.0
78,Costa Rica,1945,24.0
79,Cuba,1945,24.0
80,Dominican Republic,1945,24.0
81,Ecuador,1945,24.0
82,Spain,1945,24.0
83,Equatorial Guinea,1945,24.0
84,Guatemala,1945,24.0
85,Honduras,1945,24.0
86,Mexico,1945,24.0
87,Nicaragua,1945,24.0
88,Panama,1945,24.0
89,Peru,1945,24.0
90,Paraguay,1945,24.0
91,El Salvador,1945,24.0
92,Uruguay,1945,24.0
93,Venezuela,1945,24.0
94,Denmark,1945,13.0
95,Hungary,1945,73.99999999999999
96,Slovenia,1945,25.0
97,Saint Barthelemy,1945,85.0
98,Saint Martin,1945,85.0
99,French Southern Territories,1945,85.0
100,Benin,1945,85.0
101,Democratic Republic of the Congo,1945,85.0
102,Republic of the Congo,1945,85.0
103,Ivory Coast,1945,85.0
104,France,1945,85.0
105,Gabon,1945,85.0
106,French Guiana,1945,85.0
107,Guinea,1945,85.0
108,Guadeloupe,1945,85.0
109,Monaco,1945,85.0
110,Madagascar,1945,85.0
111,Martinique,1945,85.0
112,New Caledonia,1945,85.0
113,Niger,1945,85.0
114,French Polynesia,1945,85.0
115,Saint Pierre and Miquelon,1945,85.0
116,Reunion,1945,85.0
117,Senegal,1945,85.0
118,Togo,1945,85.0
119,Mayotte,1945,85.0
120,Canada fre,1945,85.0
121,Switzerland fre,1945,85.0
122,Belgium fre,1945,85.0
