,country,map_year,weights
0,Estonia,1945,103.0
1,Lithuania,1945,105.0
2,Latvia,1945,103.0
3,Byelarus,1945,104.0
4,Ukraine,1945,118.0
5,Moldova,1945,103.0
6,Russia,1945,106.0
7,Georgia,1945,103.0
8,Azerbaijan,1945,103.0
9,Armenia,1945,106.0
10,Kazakhstan,1945,103.0
11,Turkmenistan,1945,103.0
12,Uzbekistan,1945,103.0
13,Czech Republic,1945,256.1666666666667
14,Belgium dut,1945,10.5
15,Belgium fre,1945,60.0
16,United Kingdom,1945,84.25
17,Ireland,1945,75.5
18,Switzerland ita,1945,24.0
19,Italy,1945,29.0
20,East Germany,1945,130.58333333333331
21,Bulgaria,1945,39.0
22,Israel,1945,14.0
23,Spain,1945,8.0
24,Catalonia,1945,7.0
25,United States,1945,28.333333333333336
26,Denmark,1945,13.0
27,Argentina,1945,9.0
28,Hungary,1945,70.33333333333333
29,Slovakia,1945,99.0
30,Slovenia,1945,74.0
31,France,1945,59.5
32,Switzerland fre,1945,59.5
33,Monaco,1945,58.5
34,Luxembourg,1945,58.5
35,Chile,1945,1.0
36,West Germany,1945,119.5
37,Austria,1945,114.0
38,Switzerland ger,1945,113.5
39,Liechtenstein,1945,112.5
40,Poland,1945,172.0
41,Croatia,1945,52.0
42,Bosnia and Herzegovina,1945,51.0
43,Serbia,1945,51.0
44,Montenegro,1945,51.0
45,Macedonia,1945,52.0
46,Norway,1945,11.0
47,Sweden,1945,14.0
48,Iceland,1945,1.0
49,Netherlands,1945,10.833333333333332
50,Finland,1945,2.0
51,Brazil,1945,1.5
52,Portugal,1945,1.5
53,China,1945,23.0
54,Romania,1945,11.0
55,India,1945,2.0
56,Mexico,1945,2.0
57,Australia,1945,1.5
58,Iran,1945,1.0
59,Japan,1945,5.0
60,Mongolia,1945,2.0
61,Canada,1945,2.0
62,Turkey,1945,1.0
63,Lebanon,1945,1.0
64,Greece,1945,1.0
65,Cuba,1945,1.0
66,Sri Lanka,1945,1.0
67,Czech Republic,1956,616.3333333333335
68,Poland,1956,176.5
69,East Germany,1956,273.33333333333337
70,Hungary,1956,264.0
71,Slovakia,1956,341.0
72,India,1956,5.0
73,United Kingdom,1956,125.08333333333333
74,Ireland,1956,119.08333333333333
75,France,1956,88.33333333333334
76,Switzerland fre,1956,85.5
